player,#,nation,pos,age,min,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp%,prgp,carries,prgc,att,succ
João Pedro,20,br BRA,FW,24-078,80,0,0,0,0,1,0,0,0,32,0,0,1,0.1,0.1,0,3,0,17,21,81,3,17,1,3,2
   Estêvão Willian,41,br BRA,RW,18-233,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,4,75,0,5,0,1,1
Alejandro Garnacho,49,ar ARG,LW,21-165,64,0,0,0,0,4,0,0,0,31,0,1,0,0.6,0.6,0,2,0,16,20,80,0,22,4,1,0
   Jamie Gittens,11,eng ENG,LW,21-127,26,0,0,0,0,1,0,0,0,20,3,0,2,0.1,0.1,0,0,0,8,11,72.7,0,10,1,2,1
Pedro Neto,7,pt POR,"RW,FW",25-279,90,0,1,0,0,2,0,0,0,44,2,0,0,0,0,0.4,4,2,24,32,75,3,32,8,5,2
Cole Palmer,10,eng ENG,AM,23-221,57,1,0,0,0,1,1,0,0,36,0,0,0,0.5,0.5,0,2,0,24,31,77.4,2,30,0,3,0
   Andrey Santos,17,br BRA,DM,21-224,33,0,0,0,0,1,0,0,0,16,1,0,1,0.1,0.1,0.1,1,0,10,10,100,1,7,0,1,0
Enzo Fernández,8,ar ARG,"DM,AM",24-330,90,0,0,0,0,2,1,0,0,56,1,2,0,0.3,0.3,0.2,3,0,37,44,84.1,5,40,0,2,0
Reece James,24,eng ENG,DM,26-005,90,0,0,0,0,2,1,0,0,81,1,2,1,0.1,0.1,0.1,4,0,61,71,85.9,5,49,1,2,0
Marc Cucurella,3,es ESP,LB,27-144,90,0,0,0,0,0,0,0,0,85,1,2,3,0,0,0,3,0,72,76,94.7,3,49,1,0,0
Trevoh Chalobah,23,eng ENG,CB,26-161,90,0,0,0,0,1,0,0,0,84,4,0,1,0.1,0.1,0,0,0,67,69,97.1,0,47,0,0,0
Wesley Fofana,29,fr FRA,CB,24-361,90,0,0,0,0,0,0,1,0,82,2,3,4,0,0,0,1,1,59,61,96.7,0,51,1,1,1
Malo Gusto,27,fr FRA,RB,22-208,90,1,1,0,0,2,2,0,0,77,0,1,2,0.3,0.3,0.6,5,1,62,69,89.9,10,42,0,0,0
Robert Sánchez,1,es ESP,GK,28-025,90,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0.3,1,0,29,41,70.7,0,27,0,0,0
14 Players,,,,,990,2,2,0,0,17,5,1,0,693,15,11,15,2.2,2.2,1.6,30,4,489,560,87.3,32,428,17,21,7
