player,#,nation,pos,age,min,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp%,prgp,carries,prgc,att,succ
Thierno Barry,11,fr FRA,FW,23-053,67,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,2,4,50,0,3,0,0,0
   Beto,9,gw GNB,FW,27-316,23,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,3,3,100,0,3,0,1,0
Jack Grealish,18,eng ENG,LW,30-094,83,0,0,0,0,4,1,0,0,32,0,0,0,0.7,0.7,0,1,0,18,20,90,1,23,3,1,1
   Tyler Dibling,20,eng ENG,RW,19-276,7,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,5,5,100,0,3,1,1,0
Iliman Ndiaye,10,sn SEN,"RW,LW",25-282,90,0,0,0,0,3,1,0,0,47,2,1,0,0.1,0.1,0,2,0,27,34,79.4,2,27,4,3,1
Kiernan Dewsbury-Hall,22,eng ENG,AM,27-098,15,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,5,5,100,1,2,0,0,0
   Carlos Alcaraz,24,ar ARG,AM,23-013,75,0,0,0,0,1,0,0,0,54,1,2,2,0.1,0.1,0.5,5,0,33,42,78.6,3,15,0,1,0
James Garner,37,eng ENG,DM,24-275,83,0,0,0,0,1,0,0,0,63,2,1,4,0,0,0.1,5,0,40,50,80,6,32,1,2,1
   Tim Iroegbunam,42,eng ENG,DM,22-166,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,100,1,1,0,0,0
Idrissa Gana Gueye,27,sn SEN,DM,36-078,90,0,0,0,0,0,0,0,0,46,9,0,2,0,0,0,2,0,29,34,85.3,2,15,0,1,0
Vitaliy Mykolenko,16,ua UKR,LB,26-198,90,0,0,0,0,0,0,0,0,50,2,2,1,0,0,0.1,3,0,31,41,75.6,3,17,3,3,2
Michael Keane,5,eng ENG,CB,32-336,90,0,0,0,0,1,0,0,0,44,0,2,0,0,0,0,0,0,26,32,81.3,4,18,0,0,0
James Tarkowski,6,eng ENG,CB,33-024,90,0,0,0,0,1,0,0,0,58,1,0,2,0,0,0,0,0,42,49,85.7,4,27,0,1,1
Jake O'Brien,15,ie IRL,RB,24-212,90,0,0,0,0,0,0,0,0,68,2,0,0,0,0,0,2,0,41,64,64.1,6,27,1,0,0
Jordan Pickford,1,eng ENG,GK,31-281,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,31,42,73.8,0,22,0,0,0
15 Players,,,,,990,0,0,0,0,11,2,0,0,545,22,8,13,1,1,0.7,21,0,334,426,78.4,33,235,13,14,
