player,#,nation,pos,age,min,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp%,prgp,carries,prgc,att,succ
João Pedro,20,br BRA,FW,24-085,90,1,0,0,0,2,1,1,0,28,0,0,0,0.5,0.5,0.1,3,0,14,21,66.7,1,13,2,1,1
Alejandro Garnacho,49,ar ARG,LW,21-172,90,0,0,0,0,5,1,1,0,47,0,1,0,0.3,0.3,0.2,4,0,25,32,78.1,3,38,7,5,3
Pedro Neto,7,pt POR,RW,25-286,90,0,0,0,0,2,1,0,0,43,0,0,0,0.2,0.2,0.2,3,0,30,38,78.9,2,28,6,3,2
Cole Palmer,10,eng ENG,AM,23-228,78,0,0,0,0,1,0,0,0,49,1,1,1,0,0,0,4,1,25,34,73.5,5,32,1,5,0
   Andrey Santos,17,br BRA,AM,21-231,12,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,2,0,5,5,100,2,4,1,0,0
Moisés Caicedo,25,ec ECU,DM,24-048,90,0,0,0,0,1,0,1,0,65,3,5,0,0,0,0,2,0,47,55,85.5,6,48,1,4,2
Reece James,24,eng ENG,"DM,RB",26-012,90,1,0,0,0,2,1,0,0,63,2,1,0,0.2,0.2,0,1,1,46,56,82.1,4,36,3,0,0
Marc Cucurella,3,es ESP,LB,27-151,90,0,0,0,0,0,0,0,0,54,2,0,2,0,0,0,1,0,38,43,88.4,3,29,0,0,0
Trevoh Chalobah,23,eng ENG,CB,26-168,90,0,0,0,0,0,0,0,0,58,1,3,0,0,0,0,0,0,40,47,85.1,2,30,1,0,0
Wesley Fofana,29,fr FRA,CB,25-003,90,0,0,0,0,0,0,0,0,57,1,1,0,0,0,0,0,0,45,48,93.8,3,39,0,1,1
Malo Gusto,27,fr FRA,RB,22-215,53,0,0,0,0,0,0,1,0,26,0,1,0,0,0,0,0,0,19,21,90.5,1,14,0,0,0
   Enzo Fernández,8,ar ARG,DM,24-337,37,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0.1,2,0,16,20,80,2,15,1,0,0
Robert Sánchez,1,es ESP,GK,28-032,90,0,1,0,0,0,0,1,0,48,0,0,0,0,0,0.5,1,1,19,45,42.2,0,31,0,0,0
13 Players,,,,,990,2,1,0,0,13,4,6,0,572,11,13,4,1.2,1.2,1.1,23,3,369,465,79.4,34,357,23,19,9
