player,#,nation,pos,age,min,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp%,prgp,carries,prgc,att,succ
Nick Woltemade,27,de GER,FW,23-309,72,2,0,0,0,3,2,0,0,20,1,0,0,1.1,1.1,0,0,0,8,13,61.5,1,9,0,0,0
   Yoane Wissa,9,cd COD,FW,29-108,18,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,4,75,1,2,0,0,0
Anthony Gordon,10,eng ENG,LW,24-299,72,0,1,0,0,2,2,0,0,35,2,0,2,1,1,0.7,3,2,15,21,71.4,4,24,3,1,0
   Harvey Barnes,11,eng ENG,LW,28-011,18,0,0,0,0,1,0,0,0,6,1,0,0,0.2,0.2,0,0,0,2,3,66.7,0,5,1,0,0
Jacob Murphy,23,eng ENG,RW,30-299,72,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,3,0,19,34,55.9,3,24,1,1,1
   Anthony Elanga,20,se SWE,RW,23-237,18,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0,1,0,3,6,50,1,5,1,0,0
Jacob Ramsey,41,eng ENG,LM,24-206,88,0,0,0,0,0,0,0,0,37,0,1,1,0,0,0,3,0,30,34,88.2,6,29,1,2,1
   Joe Willock,28,eng ENG,LM,26-122,2,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,3,3,100,0,2,0,0,0
Sandro Tonali,8,it ITA,CM,25-226,90,0,0,0,0,0,0,0,0,55,0,3,1,0,0,0,1,0,32,47,68.1,6,31,3,1,0
Bruno Guimarães,39,br BRA,RM,28-034,90,0,0,0,0,0,0,0,0,53,2,0,1,0,0,0.2,3,0,39,47,83,10,36,0,2,1
Lewis Hall,3,eng ENG,LB,21-103,90,0,0,0,0,0,0,1,0,48,3,4,1,0,0,0,4,1,27,34,79.4,1,19,2,2,1
Fabian Schär,5,ch SUI,CB,34-000,90,0,0,0,0,3,1,1,0,50,0,0,3,0.1,0.1,0,0,0,32,38,84.2,2,20,1,1,0
Malick Thiaw,12,de GER,CB,24-134,90,0,0,0,0,0,0,0,0,50,2,3,0,0,0,0,0,0,32,42,76.2,0,28,0,0,0
Lewis Miley,67,eng ENG,RB,19-233,90,0,0,0,0,1,0,0,0,57,1,3,1,0,0,0,1,0,38,47,80.9,3,23,2,1,1
Aaron Ramsdale,32,eng ENG,GK,27-220,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0.1,1,0,25,42,59.5,0,30,0,0,0
15 Players,,,,,990,2,1,0,0,11,5,3,0,514,13,14,10,2.5,2.5,2,20,3,308,415,74.2,38,287,15,11,5
