player,#,nation,pos,age,min,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp%,prgp,carries,prgc,att,succ
Evanilson,9,br BRA,FW,26-070,77,1,0,0,0,2,1,0,0,15,0,0,0,0.3,0.3,0,0,0,10,11,90.9,1,11,1,3,2
   Eli Junior Kroupi,22,fr FRA,FW,19-175,13,1,0,0,0,1,1,0,0,5,0,0,0,0.2,0.2,0,0,0,2,4,50,0,3,0,0,0
Antoine Semenyo,24,gh GHA,"LW,RW",25-342,90,1,0,0,0,1,1,1,0,42,0,0,1,0.1,0.1,0.1,3,0,14,29,48.3,3,18,2,2,1
Álex Jiménez,20,es ESP,"RW,LW",20-221,90,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0.2,2,0,14,19,73.7,2,16,3,4,3
Justin Kluivert,19,nl NED,AM,26-224,89,0,0,0,0,1,0,0,0,45,0,0,0,0,0,0.2,3,0,27,34,79.4,3,26,0,4,1
   James Hill,23,eng ENG,DM,23-339,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0
Tyler Adams,12,us USA,DM,26-304,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,2,50,0,0,0,0,0
   Alex Scott,8,eng ENG,DM,22-116,86,0,0,0,0,2,0,0,0,37,1,1,2,0.1,0.1,0,1,1,19,26,73.1,3,15,1,1,1
Marcus Tavernier,16,eng ENG,DM,26-268,89,1,1,0,0,4,3,0,0,50,2,0,0,0.8,0.8,0.3,5,2,24,33,72.7,4,32,2,2,0
   David Brooks,7,wls WAL,AM,28-160,1,0,0,0,0,2,2,0,0,8,0,0,0,0.3,0.3,0,1,0,1,5,20,0,4,0,1,1
Adrien Truffert,3,fr FRA,LB,24-025,90,0,0,0,0,0,0,0,0,66,3,2,3,0,0,0,1,0,32,46,69.6,4,26,0,2,0
Marcos Senesi,5,ar ARG,CB,28-219,90,0,0,0,0,1,1,1,0,72,5,2,4,0,0,0.1,4,1,31,49,63.3,5,30,0,0,0
Bafodé Diakité,18,fr FRA,CB,24-343,90,0,0,0,0,0,0,0,0,38,2,2,3,0,0,0,0,0,21,25,84,3,16,0,0,0
Adam Smith,15,eng ENG,RB,34-230,90,0,1,0,0,0,0,1,0,37,0,1,1,0,0,0.1,3,1,15,32,46.9,3,14,1,0,0
?or?e Petrovi?,1,rs SRB,GK,26-068,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,11,26,42.3,0,9,0,0,0
15 Players,,,,,990,4,2,0,0,14,9,3,0,476,14,8,16,1.9,1.9,1,23,5,223,342,65.2,31,221,10,19,9
