player,#,nation,pos,age,min,gls,ast,pk,pkatt,sh,sot,crdy,crdr,touches,tkl,int,blocks,xg,npxg,xag,sca,gca,cmp,att,cmp%,prgp,carries,prgc,att,succ
Matheus Cunha,10,br BRA,"FW,AM",26-202,90,1,0,0,0,8,3,0,0,56,2,0,3,1,1,0.5,9,2,25,34,73.5,4,32,5,4,2
Mason Mount,7,eng ENG,AM,26-339,68,0,0,0,0,1,1,0,0,27,0,0,0,0.1,0.1,0.1,2,0,17,21,81,6,14,1,0,0
   Benjamin eko,30,si SVN,FW,22-198,22,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,3,33.3,0,3,0,1,0
Bryan Mbeumo,19,cm CMR,"AM,FW",26-130,89,0,0,0,0,4,2,0,0,41,2,1,0,0.5,0.5,0.1,3,0,22,28,78.6,3,27,0,2,0
   Joshua Zirkzee,11,nl NED,FW,24-207,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,66.7,1,1,0,0,0
Casemiro,18,br BRA,CM,33-295,60,1,0,0,0,5,1,1,0,44,2,0,1,0.4,0.4,0,5,2,22,28,78.6,4,19,1,0,0
   Kobbie Mainoo,37,eng ENG,CM,20-240,30,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,3,0,21,24,87.5,0,22,1,1,1
Bruno Fernandes,8,pt POR,CM,31-098,90,1,1,0,0,3,1,0,0,76,2,0,0,0.1,0.1,0.5,6,1,46,61,75.4,8,38,2,1,0
Diogo Dalot,2,pt POR,"WB,CB",26-272,90,0,0,0,0,0,0,1,0,51,1,0,0,0,0,0.1,3,0,33,41,80.5,8,25,2,1,0
Amad Diallo,16,ci CIV,WB,23-157,90,1,0,0,0,4,1,0,0,46,2,0,0,1.2,1.2,0.1,7,1,26,33,78.8,6,26,6,4,2
Luke Shaw,23,eng ENG,"CB,WB",30-156,89,0,0,0,0,0,0,0,0,56,3,0,1,0,0,0,1,0,33,43,76.7,1,24,2,1,1
   Patrick Dorgu,13,dk DEN,WB,21-050,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,4,25,0,0,0,0,0
Ayden Heaven,26,eng ENG,CB,19-084,90,0,0,0,0,0,0,0,0,56,1,0,0,0,0,0,2,0,37,41,90.2,2,33,1,2,1
Leny Yoro,15,fr FRA,CB,20-032,68,0,0,0,0,0,0,0,0,46,1,1,2,0,0,0,0,0,27,36,75,5,21,3,0,0
   Lisandro Martínez,6,ar ARG,CB,27-331,22,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,11,14,78.6,1,9,0,0,0
Senne Lammens,31,be BEL,GK,23-161,90,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,14,23,60.9,0,20,0,0,0
16 Players,,,,,990,4,1,0,0,25,9,2,0,586,16,3,7,3.4,3.4,1.4,41,6,338,437,77.3,49,314,24,17,7
